YearStart,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age_Years,Education,Sex,Income,Race_Ethnicity,GeoLocation,StratificationCategory1,Stratification1,US_State,Latitude,Longitude,Region
2011,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.0,32.0,30.5,33.5,"7,304",Total,,,,,,"    (32.840571122, -86.631860762)",Total,Total,True,32.840571122,-86.631860762,South
2011,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,25.3,29.7,"3,336",Total,,,,,,"    (64.845079957001, -147.722059036)",Total,Total,True,64.845079957001,-147.722059036,West
2011,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,25.1,23.0,27.3,"6,150",Total,,,,,,"    (34.86597028, -111.763811277)",Total,Total,True,34.86597028,-111.763811277,West
2011,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,30.9,28.8,33.1,"4,527",Total,,,,,,"    (34.748650124, -92.274490743)",Total,Total,True,34.748650124,-92.274490743,South
2011,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.8,23.8,22.9,24.7,"17,088",Total,,,,,,"    (37.638640123, -120.999999538)",Total,Total,True,37.638640123,-120.999999538,West
2011,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.7,20.7,19.7,21.8,"12,976",Total,,,,,,"    (38.843840757, -106.133610921)",Total,Total,True,38.843840757,-106.133610921,West
2011,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,23.0,26.0,"6,457",Total,,,,,,"    (41.56266102, -72.649840952)",Total,Total,True,41.56266102,-72.649840952,Northeast
2011,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,28.8,26.9,30.7,"4,530",Total,,,,,,"    (39.008830667, -75.577741168)",Total,Total,True,39.008830667,-75.577741168,South
2011,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.7,23.7,21.9,25.7,"4,368",Total,,,,,,"    (38.890371385, -77.031961127)",Total,Total,True,38.890371385,-77.031961127,South
2011,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.6,26.6,25.4,27.9,"11,770",Total,,,,,,"    (28.932040377, -81.928960539)",Total,Total,True,28.932040377,-81.928960539,South
2011,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.0,28.0,26.6,29.4,"9,353",Total,,,,,,"    (32.839681093, -83.627580346)",Total,Total,True,32.839681093,-83.627580346,South
2011,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.8,21.8,20.4,23.4,"7,407",Total,,,,,,"    (21.304850435, -157.857749403)",Total,Total,True,21.304850435,-157.857749403,West
2011,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.0,27.0,25.3,28.9,"5,739",Total,,,,,,"    (43.682630005, -114.363730042)",Total,Total,True,43.682630005,-114.363730042,West
2011,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,27.1,25.4,28.9,"5,355",Total,,,,,,"    (40.485010283, -88.997710178)",Total,Total,True,40.485010283,-88.997710178,Midwest
2011,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,30.8,29.5,32.3,"8,048",Total,,,,,,"    (39.766910452, -86.149960194)",Total,Total,True,39.766910452,-86.149960194,Midwest
2011,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.0,29.0,27.6,30.3,"6,898",Total,,,,,,"    (42.469400913, -93.816490556)",Total,Total,True,42.469400913,-93.816490556,Midwest
2011,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,28.7,30.4,"19,619",Total,,,,,,"    (38.3477403, -98.200781227)",Total,Total,True,38.3477403,-98.200781227,Midwest
2011,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,28.9,31.9,"10,114",Total,,,,,,"    (37.645970271, -84.774971048)",Total,Total,True,37.645970271,-84.774971048,South
2011,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.4,33.4,32.0,34.9,"10,404",Total,,,,,,"    (31.312660644, -92.445680071)",Total,Total,True,31.312660644,-92.445680071,South
2011,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,26.8,28.9,"12,643",Total,,,,,,"    (45.254228894001, -68.985031336)",Total,Total,True,45.254228894001,-68.985031336,Northeast
2011,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.3,28.3,26.9,29.7,"9,450",Total,,,,,,"    (39.290580964, -76.609260111)",Total,Total,True,39.290580964,-76.609260111,South
2011,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.7,22.7,21.8,23.7,"20,532",Total,,,,,,"    (42.27687047, -72.082690675)",Total,Total,True,42.27687047,-72.082690675,Northeast
2011,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.3,31.3,30.0,32.6,"10,579",Total,,,,,,"    (44.661319543001, -84.71439027)",Total,Total,True,44.661319543001,-84.71439027,Midwest
2011,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.7,25.7,24.6,26.8,"14,387",Total,,,,,,"    (46.355648736, -94.794200503)",Total,Total,True,46.355648736,-94.794200503,Midwest
2011,MS,Mississippi,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.9,34.9,33.5,36.3,"8,504",Total,,,,,,"    (32.745510099, -89.538030825)",Total,Total,True,32.745510099,-89.538030825,South
2011,MO,Missouri,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.3,30.3,28.6,32.0,"6,095",Total,,,,,,"    (38.635790776, -92.566300053)",Total,Total,True,38.635790776,-92.566300053,Midwest
2011,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.6,24.6,23.3,26.0,"9,882",Total,,,,,,"    (47.066528972, -109.424420645)",Total,Total,True,47.066528972,-109.424420645,West
2011,NE,Nebraska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.4,28.4,27.6,29.2,"24,366",Total,,,,,,"    (41.641040988001, -99.365720623)",Total,Total,True,41.641040988001,-99.365720623,Midwest
2011,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,22.5,26.6,"5,205",Total,,,,,,"    (39.49324039, -117.071840564)",Total,Total,True,39.49324039,-117.071840564,West
2011,NH,New Hampshire,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.2,26.2,24.7,27.7,"6,049",Total,,,,,,"    (43.655950113, -71.50036092)",Total,Total,True,43.655950113,-71.50036092,Northeast
2011,NJ,New Jersey,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.7,23.7,22.7,24.8,"14,130",Total,,,,,,"    (40.130570048, -74.273691288)",Total,Total,True,40.130570048,-74.273691288,Northeast
2011,NM,New Mexico,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.3,26.3,25.1,27.6,"8,981",Total,,,,,,"    (34.520880952, -106.240580985)",Total,Total,True,34.520880952,-106.240580985,West
2011,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,23.2,25.9,"7,222",Total,,,,,,"    (42.827001032, -75.543970427)",Total,Total,True,42.827001032,-75.543970427,Northeast
2011,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.1,29.1,27.7,30.6,"10,790",Total,,,,,,"    (35.466220975, -79.159250463)",Total,Total,True,35.466220975,-79.159250463,South
2011,ND,North Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,26.3,29.4,"4,982",Total,,,,,,"    (47.475319779, -100.118421049)",Total,Total,True,47.475319779,-100.118421049,Midwest
2011,OH,Ohio,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,28.3,31.0,"9,339",Total,,,,,,"    (40.060210141, -82.404260056)",Total,Total,True,40.060210141,-82.404260056,Midwest
2011,OK,Oklahoma,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.1,31.1,29.7,32.5,"8,159",Total,,,,,,"    (35.472031356, -97.521070214)",Total,Total,True,35.472031356,-97.521070214,South
2011,OR,Oregon,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,26.7,25.2,28.3,"5,959",Total,,,,,,"    (44.567449424, -120.155031326)",Total,Total,True,44.567449424,-120.155031326,West
2011,PA,Pennsylvania,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,28.6,27.3,29.8,"10,850",Total,,,,,,"    (40.793730152, -77.860700294)",Total,Total,True,40.793730152,-77.860700294,Northeast
2011,RI,Rhode Island,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,23.9,27.0,"6,182",Total,,,,,,"    (41.708280193, -71.522470314)",Total,Total,True,41.708280193,-71.522470314,Northeast
2011,SC,South Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,30.8,29.6,32.1,"12,352",Total,,,,,,"    (33.998821303, -81.045371207)",Total,Total,True,33.998821303,-81.045371207,South
2011,SD,South Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.1,28.1,26.3,30.1,"7,820",Total,,,,,,"    (44.353130053, -100.373530637)",Total,Total,True,44.353130053,-100.373530637,Midwest
2011,TN,Tennessee,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,29.2,26.8,31.7,"5,575",Total,,,,,,"    (35.68094058, -85.774490914)",Total,Total,True,35.68094058,-85.774490914,South
2011,TX,Texas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,30.4,29.1,31.8,"14,024",Total,,,,,,"    (31.827240407, -99.426770206)",Total,Total,True,31.827240407,-99.426770206,South
2011,UT,Utah,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.4,24.4,23.4,25.5,"11,918",Total,,,,,,"    (39.360700171, -111.587130635)",Total,Total,True,39.360700171,-111.587130635,West
2011,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,24.1,26.8,"6,771",Total,,,,,,"    (43.625381239, -72.517640791)",Total,Total,True,43.625381239,-72.517640791,Northeast
